mass	P1_500μC-N	P1_2000μC-N	P1_5000μC-N	P1_10000μC-N	P1_15000μC-N	P2_500μC-N	P2_2000μC-N	P2_5000μC-N	P2_10000μC-N	P2_15000μC-N	P3_500μC-N	P3_2000μC-N	P3_5000μC-N	P3_10000μC-N	P3_15000μC-N
74	18.934811096700436	-4.922210394446267	-4.154984505642227	-5.1956263401382055	-4.7717513571010866	20.029359593838713	-6.062710072525037	-5.610520441372216	-5.697823744425292	-5.3398350132414265	23.03339159139146	-5.065798369131785	-5.942127271972232	-4.578737265370584	-4.655437506564246
75	13.333216588673043	0.14171450293010804	-4.201275872795702	-3.221966670644962	-4.945618567874237	11.263815471700077	-4.483141937098076	-3.3780346613002035	-3.830658591843962	-5.284623800288977	16.505595353909385	-4.048077165314594	-3.8489382174929747	-0.31763838899323266	-3.684368043565697
76	53.88004945213996	-11.749555302462799	-12.743836996385024	-13.230973861010403	-13.604632264378687	53.68612584435665	-12.934128051741979	-12.765371420697655	-13.13319554663942	-13.614909429299427	48.8036299423286	-12.829450583384062	-13.028867181048968	-13.172364165329942	-13.562520436446846
77	41.07190040178468	-11.898076282275252	-11.611253162835546	-13.900515874247496	-13.890726457234758	49.028333465472464	-12.085430134277063	-12.29421456352814	-13.715108786603663	-12.93848387415499	64.15253022239138	-12.559525066163953	-12.863391530089666	-12.884888090136652	-13.611150268101323
78	20.615010614423063	-6.228358504078795	-6.247915251040594	-7.15320475128829	-7.139677087031128	32.56361807623999	-6.043463747428027	-6.6325629550928795	-6.69908539856561	-7.323582381943856	25.996155636779232	-6.4504406188237375	-5.635132991504723	-6.9491318706769984	-6.6722287699676395
79	33.32064937565223	-6.203128707904399	-7.420260673262859	-7.742653879394548	-8.22375999411151	27.790275026744578	-6.057347215271731	-8.156796737638578	-8.124743413927845	-8.15689643009644	29.560652330288782	-7.301321632961474	-8.041509633724912	-7.579475967798614	-7.663682446592652
80	15.008408753238351	8.913350936317652	-4.099008087347147	-3.7861963344342895	-4.288615352731384	12.484395792583861	-3.5408500042500632	-2.07660331912772	-5.701216972905905	-4.573391844096244	8.31504762851793	-3.0919914107881548	-5.119476026550959	-4.234446218459455	-4.2094075399665
81	16.574771416846236	1.7389640596827391	-4.255338112907667	-5.557622846160251	-4.267696649018955	11.997851283862966	-1.362996284891018	-2.219318691395529	-5.0905110919032746	-4.386435520557364	9.914335202736162	-1.4509223023824886	-2.923160526426486	-3.863138752852491	-4.8487811846325775
82	6.63487867463581	1.9232378399657786	-2.003708003181739	-3.0795641297242446	-2.136663430313283	7.293785153102969	-0.6656864819306784	-2.632378358584218	-3.1708438054829515	-3.018728547129374	9.290266486661096	-2.4800146649795405	-4.058029959463862	-1.2507652866525043	-0.645785486923242
83	3.824572685565415	-1.2191528719840794	1.826471453875389	-0.4379228700036246	-3.4746870578485236	5.165372891182944	1.7143267276921175	-0.12190538838191384	-1.8410405476295228	-4.693498366988647	4.665984955073108	-3.524986502357802	-1.6774603216642194	3.2334971330254834	-3.4395719195561605
