Mass (u)	Comp_1	Comp_2	Comp_3	Comp_4	Comp_5	Comp_6
103	0.003774271184733344	0.002228020285718751	0.0065032470945356425	0.006217374669888371	0.0010426960066968107	0.0014612707296316892
104	0.003260352453584317	0.0014220397111491827	0.003982571783390348	0.0052903217041283	0.0012388275893513853	0.0018353803380299493
105	0.0045474076625621465	0.002652952801237604	0.004410901073246205	0.006386862745009159	0.005033507357180483	0.0043006716726882435
106	0.0016850110919497197	0.0011505402667364194	0.0022315973266520276	0.0024868409194920066	0.002233587143931153	0.001594705368742286
107	0.0019470386398323387	0.0010740739413436673	0.0042039040150112315	0.003777718983087902	0.0025783944450171324	0.00137395796152807
108	0.0011315505045418625	0.0007838468309566709	0.0025268745038494697	0.0031097123180995195	0.0014253621865795757	0.001620849080922863
109	0.0015289648416586385	0.0023367245696457924	0.00348261277786732	0.0030903668778660513	0.002554765910360678	0.004559743280041281
110	0.0011522038658646964	0.00443258353369491	0.0030433697263600075	0.002596143539409947	0.0017712351007657748	0.008821825528232028
111	0.0015017247085906866	0.003979784273713975	0.0036945379619971993	0.0033646306760958936	0.002593222155780363	0.006591448530284231
112	0.0010835902791770725	0.0018024281777459775	0.0022851441511243047	0.0023440177690791193	0.0014624787268562756	0.0031188451494644728
113	0.001938484139832234	0.002934421657249825	0.004160533671544238	0.004242441915476864	0.0016462385155292345	0.003484763794357731
114	0.0012737827275664114	0.002222709082320855	0.0031998881277884254	0.0026643454917945424	0.0010610872137698944	0.00310853116264081
115	0.00430642008551356	0.004388221064457759	0.011955946975223482	0.00673906700848388	0.0014147045371388505	0.002684815223279491
116	0.002274248817978611	0.002099143159143077	0.006156266987065145	0.0041788731582797	0.0005817933795433461	0.0012071359440517433
