Mass (u)	Comp_1	Comp_2	Comp_3	Comp_4	Comp_5
108	0.10046236035474937	0.009857026912040906	0.03423719508625482	0.015428338033879326	0.050842674487144676
109	0.09932903970078792	0.017652411323798172	0.04858943298556874	0.012382574893036926	0.003255632110383482
110	0.06990607906623049	0.01383176382802538	0.038373398500799516	0.025619283635202893	0.01875981706319713
111	0.04222811459071665	0.02459467993226576	0.04308880562498131	0.044647507089053844	0.014313521311021035
112	0.03509489893836305	0.01636867672649989	0.021098268666262892	0.008326487952404758	0.004757438996054874
113	0.03854536094095885	0.039095601464609483	0.036191287260710074	0.015626257900799204	5.039772338903288e-05
114	0.014791322798016806	0.01352946237620712	0.018466521835984004	0.03347620877724842	0.024512163508009673
115	0.020353295286089142	0.030416469236231536	0.029832201867300907	0.009477481092080265	0.0005653702847872332
116	0.020861796359632662	0.016673656159051843	0.020207504261359248	0.012056377730184198	6.295239970035582e-09
117	0.052236534479637615	0.0292663514373184	0.03500580544929791	0.00026667235613932324	0.00678088307063688
118	0.03704743801776883	0.02861967467832067	0.014896401264882723	0.04262657755043252	0.0029712525820898067
119	0.16780616698732662	0.14535431177029975	0.061515591822093776	0.0002550697718717198	0.02696962104922005
120	0.1567220349247153	0.009294449589634898	0.02327732287328354	0.01657637212635484	0.0026282213143837413
121	0.16445196835343445	0.048667383111261425	0.05788718763761654	0.04266321628747229	0.0189155395095327
122	0.07285568634242871	0.016914945890692753	0.02231650501125662	0.015644436417292785	0.001639326564948059
123	0.05650950462905366	0.025425649067717205	0.02918110906392413	0.013379556149430372	0.0017716869597880353
124	0.024569249106051086	0.014884309801151444	0.014059095246882352	0.008550022658713484	0.008486325647561115
125	0.03193522119880291	0.02033537311677953	0.02830858769570823	0.010717761147532201	4.767650260637363e-05
126	0.01624971183825708	0.015397929394786356	0.01632583383678761	0.009248975636538205	5.728216561994297e-06
127	0.06194927111829696	0.061899419933071735	0.04372293737691847	0.05829074531537778	0.05358164037907876
128	0.017560452647924774	0.014162617169360937	0.017390663555330817	0.008594675477558544	0.0011583778006096768
129	0.02644398542226498	0.032986861350317205	0.038739937304431586	0.009325946345656836	0.01054999804566196
130	0.013284914076545428	0.016951953790011503	0.022591194836235402	0.012409745341569592	0.015457959355739933
131	0.02092581743419691	0.03637921762567905	0.03482168217136343	0.007721410980758783	0.01608306919614359
132	0.052810186771249795	0.015040826426471718	0.023110326403001893	0.002214160517910575	0.006891250990550604
133	0.06119396047418972	0.029411018906646415	0.03160369078252516	0.019910596294007078	0.010611769379688782
134	0.04913106450097333	0.03337478503200539	0.03846226417609419	0.02041045553488636	9.427787968592297e-08
135	0.06416019574275908	0.0395123605273002	0.02819148369607607	2.4582512868504897e-05	6.681527078469252e-08
136	0.22611434523101082	0.005021858014034347	0.01703622842656605	0.020566646633428	0.012318632585705883
137	0.33038945710015305	0.05796577950583224	0.05367649991814677	0.06413290805988084	0.0009519601352790458
138	0.12913384506416045	0.005718637855940559	0.01620624415946956	0.011301640548140795	0.005783123803004728
139	0.132163283539429	0.038336066435241116	0.016353773303692698	0.04146055634775188	0.01651920135443941
140	0.050255679006659816	0.01758894114371212	0.010052761597789643	0.012136769423515185	0.009990020895908712
141	0.041603885333333736	0.026190646533400478	0.022148335967328712	0.03154709914494094	0.026571722846442717
142	0.019584785487915618	0.015121187586152371	0.01603037241451325	0.0027422311897622024	0.008681944232415927
143	0.026089825162291195	0.04060511054706929	0.04233651261931217	0.01636584002648456	0.013532655795496935
144	0.051414661000691454	0.011460173997215729	0.02020244388460857	0.019804887362393213	0.02925747696797386
145	0.07906629423779749	0.049589815165582155	0.04938387458667321	0.021315144593000823	0.020353729433724013
146	0.03780914960763129	0.0166060713953272	0.02043946126816032	0.007069031473100324	0.016492557988242205
147	0.06203083699724476	0.0375725365873907	0.0386985005269792	9.867267539633274e-08	0.01711744945953692
148	0.020013597224371918	0.015815423903120573	0.016176057508213784	2.0894944317175194e-06	0.002237739056512579
149	0.017387693508004853	0.03462472167766694	0.037122966908231074	0.027594352978998492	0.028722277825273066
150	0.013501799006662927	0.017713769726454276	0.016145426638009993	0.002349938441860433	2.4398807984003372e-09
151	0.015282391911298831	0.02493340948045013	0.028813825473734577	0.007237368138931612	5.900448061627589e-11
152	0.010656489794022147	0.01972331012181747	0.01675139452813522	0.020841895949958427	8.788900086384983e-07
153	0.014379667095579519	0.023703619112099925	0.026948548284912957	0.020347605472406872	0.023128236454975637
154	0.012264288710377411	0.020198712606490535	0.014097772869839193	0.013736893083936812	0.008550941371511593
155	0.01583557136435548	0.05830008673764728	0.026243891965672724	1.8276186634407099e-06	0.01827934698685387
156	0.02642036708366653	0.01626481882202425	0.013402155325731555	0.02696769536105135	0.03660191028989463
157	0.035322918584472486	0.042431394940647536	0.02005604883013403	0.01565908531271175	0.025024679840267718
158	0.032619653708881306	0.0160640238082322	0.024413213289052445	0.012139024408117845	0.008431497219948821
159	0.026417679122451503	0.024306687851368573	0.02759989179913032	1.3438526306496834e-05	0.00010025357970845831
160	0.02168844833548116	0.01773998201793489	0.01929154144807289	0.014777837165786562	0.006960036226968693
161	0.03150202398335987	0.0598902759990981	0.029645218000151092	0.02400744607016259	0.023974410979329244
162	0.02836757613095785	0.029411072316210787	0.019137112222121538	0.015083896233210018	0.001001986540551371
163	0.06676749829208886	0.05756420554289873	0.04844014071430473	0.0010626686281809835	8.131752644014524e-05
164	0.024928987907532455	0.017793468578234425	0.014772140620158856	0.011508688239829446	0.0018799353622535526
165	0.0267639137737992	0.03039576101756818	0.029232422540719838	0.009606362851119222	0.02759439856524648
166	0.015041911609197078	0.013617523264016232	0.015640238397824868	0.011370794242051277	0.00906276440392446
167	0.016587962198849806	0.024222619815949472	0.026794989766106708	0.013892361448004499	0.0020798125640909726
168	0.022919103528390553	0.012787384254205702	0.014107476797750363	0.010982171190259784	0.014462887905741137
169	0.04764943980602542	0.02692511499645996	0.03490519627686094	0.004563979382468791	0.008018590342177952
170	0.020422832348556772	0.014753423713449277	0.017064344642639135	0.015255707329198108	0.010545455140160974
171	0.01992325175331297	0.028137898658623848	0.036197147827197004	0.008785401295891986	0.00015451562935216644
172	0.00991649597988428	0.014595894331459547	0.018648811659040043	0.024952219601513743	8.77452953410854e-12
