Mass (u)	Comp_1	Comp_2	Comp_3	Comp_4
182	0.026327170913510153	0.03339260399269001	0.018857495273411306	0.0054640170620547405
183	0.0379357515043038	0.020939296273292222	0.04123445165093699	0.006818222540601117
184	0.021511500449041366	0.012066297676896546	0.02370940011321125	0.0028167802657069084
185	0.025098981876626746	0.04238683340663345	0.026873140416969123	0.006937037618622328
186	0.022289779034983137	0.053072204661223615	0.023091183531055444	0.00393926440963148
187	0.035248719959093865	0.08548456044998518	0.037104590819550205	0.0053175393539768604
188	0.06465753052875503	0.055007780404488206	0.014326283603636566	0.008238062504236018
189	0.07387485527268614	0.074264572906623	0.05778541376642727	0.0016612012458005624
190	0.039073977966154375	0.03954326747830314	0.03816342728413021	0.0032842473905568908
191	0.04825827598392475	0.02798413183271165	0.03517282297239047	0.003450797910182817
192	0.027585106379635262	0.021328786967253828	0.02377544282695518	0.004246697752733896
193	0.032987658743800864	0.016153847195691268	0.018230621685849425	0.006317351755794479
194	0.021980222894346483	0.02577823497086201	0.01778411298054453	0.003655725850949294
195	0.028032359800037626	0.015171527874475151	0.026206687493426816	0.006597046426054196
196	0.022479212239472947	0.01237196936724815	0.014796764536186082	0.0032028864525580772
197	0.02956765498594683	0.025387190077024547	0.023258786968575706	0.0013675428892228143
198	0.021811430415862455	0.05858307544234998	0.016532135914841123	0.003667315709202773
199	0.039844704859260234	0.05282849624570503	0.020429243554447436	0.003856497477358259
200	0.029158798173020577	0.08034597774604882	0.030030037332122554	0.003950235229472006
201	0.03133667147158162	0.057887658235202824	0.03235792888213676	0.007134116521882954
202	0.041638945923108295	0.064529958384083	0.05562824406306002	0.00491293937465621
203	0.03665968631857056	0.035341734703505275	0.04338901561063448	0.0050519084690886775
204	0.026780995159050792	0.020862801196375257	0.023741918354301193	0.004949422703634352
205	0.11936938339941966	0.006207998705248463	0.017386350080735854	0.00983739006403561
206	0.04881232716257345	0.020409081278937903	0.01761924168744892	0.002958399106317342
207	0.056153760505859074	0.013479975268478108	0.02443348456094967	0.001250443471495473
208	0.02379964517536811	0.015747205750862713	0.014918929088120097	0.0022336984861138936
209	0.027834945581403512	0.03751392781111998	0.01785842169461752	0.005556783627739215
210	0.019291748249163656	0.042518750634082614	0.016264020247360254	0.003375345851132512
211	0.024095919784760157	0.07361665309700854	0.024291440323385215	0.00391181334653956
212	0.02055414737298813	0.04830679409751685	0.018359998952236133	0.0043729995514187525
213	0.04009566373790772	0.07285080493599724	0.03962648992606112	0.0034392925067368626
214	0.02539983603516557	0.04142952833529803	0.03344595910930074	0.00034783061796868635
215	0.03957184278656809	0.044600658544522366	0.043940239790645555	0.0021171741776440994
216	0.02420940770192461	0.02593743185251707	0.02578226904280316	0.0021201728270121285
217	0.02814368080567272	0.015809389031242127	0.022320083858465345	0.006820630584018412
218	0.01980518548575394	0.01854153934264165	0.017634773502773197	0.005020836281851961
219	0.02435603600332578	0.012303663758082261	0.021911721143413065	0.011369001203169967
220	0.02388940851541446	0.014991203505903791	0.012080683988006605	0.003209257935919531
221	0.03027067092957437	0.027267565090613767	0.015334306206404724	0.007147733214187849
222	0.023365347557041304	0.05776577771828791	0.011379488784406436	0.003375347220731318
223	0.08424718272160475	0.04654450189987419	0.023627069680523756	0.0031251776465462226
224	0.02985206143467023	0.08051601635068109	0.018340693494453785	0.003452858200194709
225	0.03679912837377777	0.05721316231525738	0.01904000234927877	0.0031406595396592323
226	0.03228334396988355	0.07095976145025032	0.03367861626119927	0.003982237053965481
227	0.028544252312291688	0.04193268551645799	0.03162307071501992	0.006545629480986634
228	0.02280337442310666	0.03136314273866863	0.027223616571553182	0.004858060478620346
229	0.025170097441202362	0.021252342668750552	0.02746789014800586	0.004916994745778674
230	0.01781838951504231	0.01618766696746232	0.015594311997352775	0.002890940223153847
231	0.04787724215061264	0.009959681757088515	0.02186464950720036	0.0017371344694411069
232	0.03406225944696901	0.008495358333749599	0.01844935530129741	1.564885231536597e-05
233	0.032932040900304535	0.03315046346203593	0.020390457093614835	0.0007154465905413883
234	0.01843560398488158	0.036891763683814666	0.01124312735820886	0.0031512287313383313
235	0.02914287342598475	0.0632264465048861	0.012635534606059208	0.005085640488791565
236	0.020165267985867933	0.05193346514753169	0.011471985350717605	0.004325614642379471
237	0.02891177184360407	0.07388687506971164	0.020739569334694802	0.00815740598977417
238	0.021472304868943005	0.0467369126328741	0.013385665234484253	0.003944298060261307
239	0.03380934957593845	0.05829370686913925	0.030730616259383673	0.005660950049182659
240	0.023770074198540155	0.034154325766134794	0.019923195289576836	0.000813434585667638
241	0.045086840964424876	0.021729579177868878	0.01762355727681104	0.004413118656974222
242	0.0249033986898558	0.01823927072392302	0.028049548336314713	9.357941144355892e-20
243	0.0253028338288491	0.013084783974750411	0.018266255481611718	0.0024355349181210267
244	0.015113642014902385	0.015829376556243287	0.014975054617463311	0.00852290624856709
245	0.019689671533973	0.021157437141113098	0.01863814938244173	0.007326476317196971
246	0.01940744289125014	0.046210045796390695	0.011947648907988379	0.003967769357919688
