Mass (u)	P1_2000μC-N	P1_500μC-N	P1_5000μC-N	P1_10000μC-N	P1_15000μC-N	P2_2000μC-N	P2_500μC-N	P2_5000μC-N	P2_10000μC-N	P2_15000μC-N	P3_2000μC-N	P3_500μC-N	P3_5000μC-N	P3_10000μC-N	P3_15000μC-N
667	0.00590019718595643	0.0008468968501776638	0.007083900518127707	0.008512654088695417	0.00924345905875661	0.007576109287883167	0.0	0.007834572069571208	0.0082158129470736	0.011328945484992033	0.006284749919357561	0.0008555293878417724	0.00647729429402165	0.007546755925676137	0.008761005466978349
668	0.008052331188635391	0.0	0.01090051351193045	0.01285909632453901	0.013694717726830742	0.009575487552495604	0.0008847420299470872	0.010468491347687877	0.012768108248650314	0.015053871869847324	0.009084028009152662	0.0008555293878417724	0.010241836884210995	0.012220095471928191	0.01401972611304263
669	0.009044998262896413	0.0	0.011134996596086114	0.013607120171859104	0.013768052536957417	0.009457929864944052	0.0	0.010485043084707652	0.013789641815588708	0.014711016772636643	0.010520488607443389	0.0	0.010640354238662894	0.012677856751054078	0.013805126723110513
670	0.037525005703178876	0.0	0.04336776605032822	0.04729513267511569	0.048664065023496246	0.043345877698745455	0.00153241814745998	0.0428373404572845	0.049388611917447464	0.05039197424965507	0.044163328915959116	0.0017110587756835446	0.046003534243894265	0.048300543630318826	0.05043001944053528
671	0.058328030302068984	0.0011976930114523073	0.06200553534415994	0.06434640739292379	0.065810443734704	0.0625033956010038	0.0012512141779526737	0.06597078067415184	0.06669305601442747	0.06209887132720368	0.06118184000312645	0.0008555293878417724	0.06419573429771672	0.06626737776392896	0.06685051862565715
672	0.011596382509973087	0.0008468968501776638	0.014103769723590079	0.01582229387105498	0.016850376753226814	0.014161677980405069	0.0012512141779526737	0.014711640803654218	0.016353156170393082	0.01737653188778883	0.014123711379499025	0.0012099012632945862	0.014534946354009409	0.01601619903088512	0.016241521769066736
673	0.013537224244533337	0.0	0.014944067834417582	0.016336249236593034	0.01662132624318013	0.014228578891631866	0.0	0.016044512555126674	0.016091489395760158	0.01621553753632834	0.014276753475371747	0.0	0.015229708039641692	0.015824881675673405	0.016706466613608018
674	0.0071048203973468355	0.0	0.009071140018767715	0.010426151238741507	0.011422146467244447	0.008655376623764147	0.0008847420299470872	0.0094772884025167	0.010885813929923261	0.012537395933670493	0.008296399846443061	0.0008555293878417724	0.009317105948898135	0.010816435456948862	0.011708766989497682
675	0.005674649185429848	0.0	0.0070838877995629025	0.008601662600751295	0.00930536565280199	0.007197655576239539	0.0012512141779526737	0.007331453287099242	0.008838175411016478	0.0097293393444925	0.006706216560490313	0.00148182413565578	0.007341090596731657	0.008469575814736062	0.0086063106632822
676	0.005712820873958307	0.0025406927043514407	0.008525878109725415	0.010129848777708164	0.01163370415681626	0.0071717059217948345	0.0017694840598941742	0.0084929982533752	0.010555854185597997	0.012038925748970229	0.006850446958469868	0.002566590339297938	0.007487443215425163	0.009800881005693688	0.010820349963454472
677	0.006258100712926581	0.0020744651477055693	0.007489014281300878	0.009183780944059389	0.010088964081224316	0.006575197768245927	0.002167177550451885	0.007678032520308162	0.008393271662563024	0.011158790238538763	0.006095167660944167	0.002095615789696193	0.0073410721762722075	0.008505745590990543	0.009760858221522414
678	0.015259651034400088	0.00224068577828685	0.021806210126816012	0.02689370820289713	0.028289838209404897	0.01810326971146093	0.002167169283120621	0.02012236811568535	0.02589669659948793	0.02861063998184426	0.01876408675586525	0.0019130247870672858	0.02081227770032409	0.025630740302880546	0.02801485843935675
679	0.017669126856985424	0.001466868373277761	0.023209257894619036	0.02789703271961688	0.030852974054828668	0.02025718007178005	0.0019783463402919758	0.023458742543027246	0.02836548018601775	0.027857282581306354	0.01956599906983982	0.0017110620393407472	0.021571303029577504	0.02716247733210168	0.030374022319373924
680	0.007636216660205663	0.0025406927043514407	0.009907291510809168	0.012314552232105043	0.01320410578154618	0.009418445483828527	0.0012512141779526737	0.010501514542801564	0.012686988253039327	0.014883340251167023	0.008910135397985137	0.0012099058787984629	0.010188749237604674	0.012543494999161115	0.013794133283475491
681	0.006463373623875508	0.001466868373277761	0.008968938751319454	0.010600041832845294	0.011168471024924485	0.007427075776753338	0.0	0.009027483948706692	0.010514059220758997	0.012239096895288579	0.007239100828431705	0.0	0.00831171611904946	0.010469314619610301	0.010792916797372695
682	0.008025257689775566	0.0011976930114523073	0.010110125184219856	0.011105117907033717	0.011913808483287311	0.009238666818194727	0.00153241814745998	0.009730125100824494	0.011833324321626692	0.014571484163719608	0.008821915652852218	0.0014818203671102491	0.009394460946809543	0.010216208521015681	0.010943924074077564
683	0.005194171078327169	0.0008468968501776638	0.006654168061336995	0.008128447843439975	0.008415414184374316	0.006135385038459692	0.0008847420299470872	0.0074721083639079575	0.008071068718349044	0.010438085644252583	0.006315785217476768	0.0008555293878417724	0.006642738302196939	0.007276818461260818	0.007392810799283345
684	0.006694885413964432	0.0008468968501776638	0.008676092198372376	0.010039289885384288	0.010452010807282681	0.008547087738483224	0.0012512141779526737	0.009046700914409964	0.010011129751401214	0.013806740438983722	0.008459804653496402	0.0008555293878417724	0.00828986081249182	0.009066501258534719	0.010180349996537028
685	0.006081789102231024	0.0011976930114523073	0.006952435290235229	0.008276932058990263	0.008814730638295637	0.0069338840899620755	0.0008847420299470872	0.007284030224323913	0.008125660134124493	0.012343309520431785	0.006315811676456441	0.0012099012632945862	0.006804111631972454	0.008040601173735127	0.00864085506026443
686	0.01103879214093295	0.0008468968501776638	0.01294383447914279	0.016306197650613936	0.01841316004280776	0.010904301993948377	0.0	0.012311137315149469	0.016434229283426468	0.019212732609322943	0.010849992341347592	0.0008555293878417724	0.012644620304069395	0.015557754126612306	0.018046082201435568
687	0.01154065852451575	0.0	0.01176421538613617	0.015255522870853225	0.016793634654491525	0.010069119855163757	0.0008847420299470872	0.012423664138451165	0.015029979515737377	0.015922221438344906	0.009967351586801674	0.0	0.011771094392743063	0.014482417555579843	0.016500059004954912
688	0.009873229624932447	0.0008468968501776638	0.0119194710551602	0.012847216281821804	0.013840592839684186	0.01161613061433055	0.0008847420299470872	0.011792904474228948	0.013266605478750216	0.015347944050812285	0.011582399524856372	0.0	0.012028862145038172	0.01336381757550237	0.014147016617418476
