mass	P1_500μC-N	P1_2000μC-N	P1_5000μC-N	P1_10000μC-N	P1_15000μC-N	P2_500μC-N	P2_2000μC-N	P2_5000μC-N	P2_10000μC-N	P2_15000μC-N	P3_500μC-N	P3_2000μC-N	P3_5000μC-N	P3_10000μC-N	P3_15000μC-N
714	0.0	130.4742330569443	395.3295671457883	990.0178570248369	1554.5223550589485	0.0	369.03820238083347	425.2785749338202	1213.8684208946622	867.2484119801737	1.056129625176769	308.75119345522114	338.3968111510966	696.6479779088919	792.690448425871
715	2.887101869503238	118.07770192828775	288.02592820683606	474.10304983906855	651.3529797927	0.8775093031071848	198.95681991972003	324.538694027036	677.9373454521499	644.8030346470454	0.0	207.82212980471976	214.9787702797147	393.65118095122045	404.44239917984413
716	0.0	92.35160892287722	227.36738991027144	332.71966029218316	380.5207457622754	0.0	139.9132331635678	258.9452185326615	336.4459914452939	472.67690809207824	0.0	231.48085642724567	127.77261999326166	322.8471026622173	399.92944197333105
717	0.0	47.937060935678886	128.07602884799377	272.4442472499663	268.44178077003403	1.345812718225754	74.21799991433761	116.12005304198165	245.64509569646756	363.9946140865558	0.0	91.57131677601886	57.03240771700823	231.39788905743	175.40513711257958
718	4.836509802725061	82.25792947306235	205.76084382984115	357.5756353660374	466.4144263513431	2.7723745487277642	67.66078838502783	225.1890674859708	317.75781209323554	456.3627074599764	4.081516852094704	112.49484675742875	95.80970923483711	399.00450225615174	432.87805027904153
719	2.259905632932567	68.22071619583126	69.4079643998138	146.55128734895737	250.61026987903864	0.811478887383407	74.5299126030471	66.83640299791139	231.7522123498978	251.77727690975806	3.421873910530336	57.04633244025755	145.2949666634226	170.89900005829108	250.4113593329789
720	3.0845016468317823	100.95448625514877	82.15187044599134	188.78428946535922	355.4383158247065	0.8043027275267853	137.129717486602	196.3686989167747	254.66251992535203	423.39748181707347	0.0	78.35556651052222	126.17314124334153	286.7143422456956	377.66782784692725
721	2.5441060016500567	92.17981979112817	149.97999447114427	201.06251441747133	335.34460812134756	3.599082062925905	78.12578033481338	254.471850192835	326.85378551091554	422.5556184078653	1.53760426224468	121.51302196284499	200.27643165047405	203.32420179001846	415.6477637653989
722	4.955378376575373	106.29824434846692	249.61160844788415	265.8914645374209	611.1212801524568	0.8456015572090011	190.81080859992565	324.99855959880944	565.3771322153005	668.2230545464146	2.127008909199648	160.98276156361212	287.2827931064106	445.8447658520879	400.7855611177738
723	1.0377885353034924	46.516862948016424	115.23266208922078	186.55148784403767	324.602534351728	1.989266930410782	80.32536246855797	107.29248454426845	288.7991767595887	304.77372620020475	0.0	97.91066599593475	74.84232777230845	231.70190191601878	234.9812832318988
724	0.0	147.28774191708297	388.5878878623528	407.5277871912709	489.331073851545	0.0	439.22736727261105	299.40555494699265	335.90566151254427	1622.7091676055363	0.0	411.40060540236067	328.72881693851707	459.49998029209644	475.75221596180194
725	0.0	137.64004702519944	265.1116447855821	371.26250334679077	339.61590508737714	0.0	318.7481806641405	628.7794205939239	682.4851336688157	1139.4213667423633	1.158634322749349	202.6367162204878	287.96031067189807	302.7355193389065	220.45334240340452
726	0.0	230.65382397648844	217.22558044248072	390.33632278767163	535.0968348057813	0.948846960012736	305.15272114882487	365.6877944475958	841.703518998647	1088.1472124569582	1.2328194441786198	177.2470880542668	248.38043029437333	394.1835554758282	436.68627790484254
727	0.0	190.91468164147065	257.8935230377986	332.81663644431796	259.993397639004	0.7406032658334247	214.0639721823067	304.1977086958302	383.7505034162979	947.6308287647619	0.0	151.97331986447435	232.41768300696722	230.580496531224	155.68536134006442
728	0.0	122.48873093237462	201.3186784471478	436.3857545210234	771.3896530071765	2.0382403089851224	240.4399599821558	127.37331193277517	509.2011694243326	786.5144277697484	1.02082418471534	232.22895798690953	171.7159757530309	421.1980164351257	395.00536674732126
729	0.0	141.62247744278005	248.09623249451892	326.70860758822107	354.9883224981044	0.0	220.18583424966204	221.18583551742057	287.95937718440035	881.8637806946527	0.8167950734156354	234.08597921794393	356.3756738268317	399.0732009058051	595.3273429920235
730	0.6780905341360783	1080.1535847655973	1287.259521034527	2047.6272726957704	2025.9434981729976	0.0	2034.6758835980745	1330.7113544566673	1559.0584024639988	3367.0518121550444	1.2788062161202516	1538.7234009714311	1209.6268539058347	3496.039274019325	2723.534781995654
731	1.1728233100381873	2616.1451933153285	2766.2798237092857	5399.629195733014	4619.656805113872	2.764385783841656	3249.7393893671833	4641.125755745963	5373.15014491447	5101.61607676044	0.8842759800115731	4678.689679788258	4330.626282767536	4766.683674310731	7056.628937380067
732	1.8790919323656934	278.86670930532205	530.6263591963483	554.1010068383039	630.7697212571774	0.7677742543771304	666.6823408129549	520.1123526757254	740.8090892218268	881.7170997739081	0.0	417.7251741186939	727.0454907076112	581.9166371282665	688.5201631243649
733	0.0	395.3099607740848	448.7205854658401	844.2876012089426	1162.9764524263633	0.0	604.9422694037984	1019.7319644483982	754.6817652846969	1576.0682918638922	1.4833068940391152	613.5446907434817	632.8299704991891	896.7733382872501	834.970062367581
734	0.0	121.98988500453615	181.07024229126918	431.58522943207936	784.7425136930002	2.2711501900325737	159.22020897178655	298.3800405505291	432.43988364161476	685.7422133612922	0.0	131.3862792391314	302.0340979111434	398.25869508598674	844.9128378640578
735	0.0	59.24199338027378	167.91516652723934	284.64277549909673	343.48241194780115	0.0	142.47327615203855	161.1244216526706	185.14753020655533	429.1588397744905	4.1267349289384025	73.71091605140012	94.30507982406026	148.11602800859362	388.10827987193943
736	3.974814215399933	36.49506320781668	145.1500201492322	180.3897669764704	277.6974760332551	3.4303683336333797	69.41094323521982	140.69313594164404	300.0700036438398	454.2021869342161	5.78670194086284	78.15671975013815	122.70968614391698	156.49421199742744	377.16968803474265
737	3.720462675606039	54.47863829251602	54.00683907341872	152.99316892401148	220.0568906228397	2.6139863244375903	74.31330733609153	83.27511074842378	137.84813782168618	402.8943967054542	0.0	72.83636259637545	115.37040992961903	163.36636080362513	264.89203788128333
738	5.696694130683355	332.0587057599532	388.6311786209229	432.84612158875393	1221.3005997226162	5.589908192273811	309.6621384286474	389.8864804589341	1052.2115817655128	1213.8879052127581	2.506734137363883	249.36690435615748	400.5527273366228	671.5626594816293	1399.4905662550543
739	3.6283446029777013	283.3062770732173	851.9511965508542	1183.887204441062	1287.0441944725753	0.9738170513588705	528.7461544672345	516.1590531303633	886.4096918665882	1030.224712152291	5.2108197429557634	354.5051699481906	626.6064999378028	1222.1465684039465	1011.5977093501461
740	2.4371791542557126	102.5437831387048	236.18664863478577	403.1480033635417	443.22194181221045	0.0	132.4646655623883	159.7166768165247	594.1028515356995	406.5470267579011	0.6352419811079042	107.59780746384132	187.73094576429443	235.13558857579122	336.2295644964926
741	1.157024454523589	44.827402063032046	91.56660862910519	202.99089039311718	277.0398916973746	2.1939080489068292	84.62072966091324	119.98356902665627	206.48618705015363	247.54679295598388	0.0	98.30039271475881	143.92898205389673	191.60602998380193	274.42870346063813
742	0.0	121.9216276534792	129.23714920679657	275.9075251374885	414.22757977658426	1.6169777224945192	202.84884819139737	199.33512689669598	235.21734770981413	324.5204507113874	1.9545746791232455	110.24148635542635	165.6155232040822	280.47596163458013	300.4963040733479
743	3.6246830701698753	56.4719011478485	75.80652570428039	139.8614753189232	234.4691597163489	0.0	84.0508590116818	68.26838482560798	134.12088084990594	153.74035321228143	1.239587037248254	42.00667780089019	59.906395197129434	122.67988039780735	180.02085387060382
744	1.3751938683583693	52.64973842937661	210.49259223073304	200.17735818856508	232.0610467837118	1.404364379024976	162.26297323887312	159.89706151048895	245.41095146640797	406.763270270262	2.228541059856274	98.032960872336	136.35966412062683	198.33891071481713	170.1244876428757
745	0.0	36.21456352394291	58.87264728261209	110.43349815521275	279.694169334528	0.0	60.4481969897433	90.42912406408361	126.82746597258974	237.06293457659837	0.0	41.95013119434564	90.82924587539203	128.21900709125774	167.09201060614413
746	0.0	144.3051737927149	171.26723933578748	573.5310709460394	744.8782802288504	0.7629801221321505	231.51839651281406	313.8362924774112	408.10025160115964	523.5225756537747	0.8293176738939437	175.6540818095737	393.42663503144365	398.3600164098358	517.6194528034339
747	0.0	115.24760647729128	237.67035583734034	414.63443676418007	344.8066452073181	0.9818553666228135	131.23289438863722	118.30186206395824	439.11006777181865	367.55933438715	0.0	134.1219945611497	221.11811832884462	509.7009424819781	415.5205873613199
