Mass (u)	P1_2000μC-N	P1_500μC-N	P1_5000μC-N	P1_10000μC-N	P1_15000μC-N	P2_2000μC-N	P2_500μC-N	P2_5000μC-N	P2_10000μC-N	P2_15000μC-N	P3_2000μC-N	P3_500μC-N	P3_5000μC-N	P3_10000μC-N	P3_15000μC-N
460	366.0748972132767	4.000045777143302	713.282304405671	911.4220788499666	1069.5608772691735	629.2417945372121	6.000045776832854	738.3210122914396	1085.6197618320411	1673.54534080648	616.2187998529171	5.000038147360711	662.2580449648083	830.3572533091663	900.4093126665555
461	354.0843150487967	8.000106813541336	677.3154152545686	886.503031237545	966.589867911672	631.2844623217283	4.000030517888569	849.5109378302636	951.598752930232	1496.3833699319264	525.2036866675415	5.000129704751795	602.2522530375528	808.3980508375686	785.3670730434937
462	240.02721052119577	1.0000076294721425	421.085571784095	596.14892632069	648.1789563294112	459.0915389465141	7.000068665559729	497.1169299537823	657.1892880282917	1152.595031451437	375.0698037847905	6.000061036087587	418.07754879868753	574.1445017069768	550.1331894703519
463	213.025524333041	6.00007629534232	417.0988983996604	598.1752935536432	628.2010039451274	409.10019733316	4.000030517888569	514.1495118870804	639.2131043986565	1038.6014870810614	310.0595847260021	6.000061036087587	355.072810322952	506.1332366388231	539.1533504031268
464	197.01714517692236	3.000022888416427	410.0800837929253	682.2180491859996	887.372638835761	328.0499219605529	2.000015258944285	407.0716794329981	729.2594564346441	1268.7379066167464	324.04734213902054	3.000022888416427	341.054264312064	634.1887183470574	747.2881984969702
465	225.03088155462927	4.000030517888569	409.0928072798542	839.3881230708832	967.5082263340496	397.0841819774056	0.0	519.1422060009938	840.393981777278	1357.0541272171265	325.0556837302379	0.0	399.08438060380143	639.2272351650092	863.4287220616122
466	4876.55813419052	6.000045776832854	7358.982806337771	10441.226896440632	11896.536769181928	7382.487651016365	3.00003814767116	7675.737050294564	11673.72157447891	14037.86910132624	6853.4506257389085	1.0000076294721425	8356.353735360042	11128.623718787332	11940.865562747686
467	11673.508077149228	6.000045776832854	14772.229851892502	19017.33475070552	20939.764935365907	14730.081429411568	3.000022888416427	17528.31610785065	20301.2261526816	21455.029391513483	13581.485133506276	8.000076295031871	15535.740705604478	19485.777635660572	20758.566939626784
468	505.1113673698147	4.000045777143302	824.2940606939993	1327.766234429305	1497.972657891356	794.2748384446313	1.0000076294721425	894.3540590814023	1456.943834511413	1900.5699940468205	692.2021728217628	1.0000076294721425	908.3681105882956	1292.703151191399	1505.9641435486571
469	557.1977021790307	4.000030517888569	890.4774992133284	1293.9785264672537	1537.378732752344	817.4332584355418	1.0000076294721425	1036.6344507258173	1326.0907430626344	1663.585053954713	738.3240834175726	2.000015258944285	904.5199164930626	1256.9201743497906	1353.053821342545
470	231.02218121422936	3.000022888416427	435.0776456220357	700.1957710044235	862.2969294623206	373.0575283780113	1.0000076294721425	475.091122954984	766.2348547627948	1051.4440065874703	345.04930175526977	3.000022888416427	437.0770499139757	714.2060291030452	798.2566851428015
471	209.0230973570603	2.000015258944285	356.05975010510764	560.1660884736045	682.2346219262809	297.04687627606114	1.0000076294721425	442.0959412246801	590.1748046611209	844.3641229886642	308.04581506811894	3.000022888416427	366.0659474655812	505.1232432410354	596.18862424206
472	177.01336031619482	4.000030517888569	329.04939472223305	560.1407322695322	685.2028884520489	284.0338949276924	1.0000076294721425	346.04985908172	573.1372393191932	931.370645264818	244.02719519843205	2.000015258944285	305.0401144597448	552.129661823752	674.2010195008774
473	162.0141921709698	2.000015258944285	314.0489899344944	549.1458357691922	707.2538523663632	268.03891665775325	2.000015258944285	385.0747320310496	561.1623255364366	859.4001228860807	225.02837842527347	3.000022888416427	275.0399928234935	481.1237803319767	600.1922885267888
474	833.4191834480532	3.000022888416427	1650.6829725580883	3107.093820248906	3906.6844846132662	1265.0099128425609	0.0	1512.5270606998024	3190.3528842627666	4369.537118820979	1200.895625501001	2.000015258944285	1727.8357420619454	2818.936487837394	3678.50589936293
475	1427.6099072522418	1.0000076294721425	2640.280951012652	4583.420625309469	5602.590651818043	1914.8321403323616	0.0	2698.1513943934674	4589.341774116896	5341.67289732355	1935.8740666861704	1.0000076294721425	2430.726157258592	4275.544078777717	5339.620877454893
476	244.0245697429934	1.0000076294721425	504.1089453824516	780.244427937788	943.3614651311628	373.05798685644817	4.000030517888569	469.09167362916287	812.2766650706099	1323.7558806806103	357.0559571712374	4.000045777143302	453.0830182585671	697.1946196069424	859.3104136050604
